Australian Bureau of Statistics

"2011 Census - Counting Employed Persons, Place of Work"
"LGA and Local Government Areas (2011 Boundaries) (POW)"
"Counting: Persons, Place of Work"

Filters:
"Default Summation","Persons, Place of Work"

"Counting","LGA","Local Government Areas (2011 Boundaries) (POW)","Count",
"Persons, Place of Work","Ballarat (C)","Indigo (S)",0
"Persons, Place of Work","Ballarat (C)","Kingston (C)",22
"Persons, Place of Work","Ballarat (C)","Knox (C)",16
"Persons, Place of Work","Ballarat (C)","Latrobe (C)",3
"Persons, Place of Work","Ballarat (C)","Loddon (S)",4
"Persons, Place of Work","Ballarat (C)","Macedon Ranges (S)",19
"Persons, Place of Work","Ballarat (C)","Manningham (C)",9
"Persons, Place of Work","Ballarat (C)","Mansfield (S)",0
"Persons, Place of Work","Ballarat (C)","Maribyrnong (C)",50
"Persons, Place of Work","Ballarat (C)","Maroondah (C)",16
"Persons, Place of Work","Ballarat (C)","Melbourne (C)",828
"Persons, Place of Work","Ballarat (C)","Melton (S)",117
"Persons, Place of Work","Ballarat (C)","Mildura (RC)",9
"Persons, Place of Work","Ballarat (C)","Mitchell (S)",5
"Persons, Place of Work","Ballarat (C)","Moira (S)",0
"Persons, Place of Work","Ballarat (C)","Monash (C)",66
"Persons, Place of Work","Ballarat (C)","Moonee Valley (C)",30
"Persons, Place of Work","Ballarat (C)","Moorabool (S)",372
"Persons, Place of Work","Ballarat (C)","Moreland (C)",28
"Persons, Place of Work","Ballarat (C)","Mornington Peninsula (S)",21
"Persons, Place of Work","Ballarat (C)","Mount Alexander (S)",49
"Persons, Place of Work","Ballarat (C)","Moyne (S)",3
"Persons, Place of Work","Ballarat (C)","Murrindindi (S)",3
"Persons, Place of Work","Ballarat (C)","Nillumbik (S)",0
"Persons, Place of Work","Ballarat (C)","Northern Grampians (S)",35
"Persons, Place of Work","Ballarat (C)","Port Phillip (C)",88
"Persons, Place of Work","Ballarat (C)","Pyrenees (S)",208
"Persons, Place of Work","Ballarat (C)","Queenscliffe (B)",7
"Persons, Place of Work","Ballarat (C)","South Gippsland (S)",5
"Persons, Place of Work","Ballarat (C)","Southern Grampians (S)",10
"Persons, Place of Work","Ballarat (C)","Stonnington (C)",33
"Persons, Place of Work","Ballarat (C)","Strathbogie (S)",0
"Persons, Place of Work","Ballarat (C)","Surf Coast (S)",24
"Persons, Place of Work","Ballarat (C)","Swan Hill (RC)",11
"Persons, Place of Work","Ballarat (C)","Towong (S)",0
"Persons, Place of Work","Ballarat (C)","Wangaratta (RC)",0
"Persons, Place of Work","Ballarat (C)","Warrnambool (C)",15
"Persons, Place of Work","Ballarat (C)","Wellington (S)",4
"Persons, Place of Work","Ballarat (C)","West Wimmera (S)",3
"Persons, Place of Work","Ballarat (C)","Whitehorse (C)",28
"Persons, Place of Work","Ballarat (C)","Whittlesea (C)",26
"Persons, Place of Work","Ballarat (C)","Wodonga (RC)",0
"Persons, Place of Work","Ballarat (C)","Wyndham (C)",91
"Persons, Place of Work","Ballarat (C)","Yarra (C)",89
"Persons, Place of Work","Ballarat (C)","Yarra Ranges (S)",8
"Persons, Place of Work","Ballarat (C)","Yarriambiack (S)",4
"Persons, Place of Work","Ballarat (C)","POW Capital city undefined (Greater Melbourne)",108
"Persons, Place of Work","Ballarat (C)","Unincorporated Vic",11
"Persons, Place of Work","Ballarat (C)","POW No Fixed Address (Vic.)",1466
"Persons, Place of Work","Ballarat (C)","POW State/Territory undefined (Vic.)",3083
"Persons, Place of Work","Banyule (C)","Alpine (S)",0
"Persons, Place of Work","Banyule (C)","Ararat (RC)",0
"Persons, Place of Work","Banyule (C)","Ballarat (C)",10
"Persons, Place of Work","Banyule (C)","Banyule (C)",13910
"Persons, Place of Work","Banyule (C)","Bass Coast (S)",33
"Persons, Place of Work","Banyule (C)","Baw Baw (S)",6
"Persons, Place of Work","Banyule (C)","Bayside (C)",75
"Persons, Place of Work","Banyule (C)","Benalla (RC)",3
"Persons, Place of Work","Banyule (C)","Boroondara (C)",2139
"Persons, Place of Work","Banyule (C)","Brimbank (C)",549
"Persons, Place of Work","Banyule (C)","Buloke (S)",3
"Persons, Place of Work","Banyule (C)","Campaspe (S)",0
"Persons, Place of Work","Banyule (C)","Cardinia (S)",10
"Persons, Place of Work","Banyule (C)","Casey (C)",77
"Persons, Place of Work","Banyule (C)","Central Goldfields (S)",3
"Persons, Place of Work","Banyule (C)","Colac-Otway (S)",0
"Persons, Place of Work","Banyule (C)","Corangamite (S)",0
"Persons, Place of Work","Banyule (C)","Darebin (C)",4341
"Persons, Place of Work","Banyule (C)","East Gippsland (S)",0
"Persons, Place of Work","Banyule (C)","Frankston (C)",36
"Persons, Place of Work","Banyule (C)","Gannawarra (S)",0
"Persons, Place of Work","Banyule (C)","Glen Eira (C)",174
"Persons, Place of Work","Banyule (C)","Glenelg (S)",0
"Persons, Place of Work","Banyule (C)","Golden Plains (S)",3
"Persons, Place of Work","Banyule (C)","Greater Bendigo (C)",17
"Persons, Place of Work","Banyule (C)","Greater Dandenong (C)",306
"Persons, Place of Work","Banyule (C)","Greater Geelong (C)",41
"Persons, Place of Work","Banyule (C)","Greater Shepparton (C)",9
"Persons, Place of Work","Banyule (C)","Hepburn (S)",0
"Persons, Place of Work","Banyule (C)","Hindmarsh (S)",0
"Persons, Place of Work","Banyule (C)","Hobsons Bay (C)",209
"Persons, Place of Work","Banyule (C)","Horsham (RC)",4
"Persons, Place of Work","Banyule (C)","Hume (C)",2104
"Persons, Place of Work","Banyule (C)","Indigo (S)",0
"Persons, Place of Work","Banyule (C)","Kingston (C)",268
"Persons, Place of Work","Banyule (C)","Knox (C)",402
"Persons, Place of Work","Banyule (C)","Latrobe (C)",6
"Persons, Place of Work","Banyule (C)","Loddon (S)",4
"Persons, Place of Work","Banyule (C)","Macedon Ranges (S)",19
"Persons, Place of Work","Banyule (C)","Manningham (C)",1424
"Persons, Place of Work","Banyule (C)","Mansfield (S)",6
"Persons, Place of Work","Banyule (C)","Maribyrnong (C)",285
"Persons, Place of Work","Banyule (C)","Maroondah (C)",358
"Persons, Place of Work","Banyule (C)","Melbourne (C)",11036
"Persons, Place of Work","Banyule (C)","Melton (S)",57
"Persons, Place of Work","Banyule (C)","Mildura (RC)",0
