Australian Bureau of Statistics

"2016 Census - Counting Employed Persons, Place of Work (POW)"
"STATE (UR) by LGA (POW)"
"Counting: Persons Aged 15 Years and Over Place of Work"

Filters:
"Default Summation","Persons Aged 15 Years and Over Place of Work"

"Counting","STATE (UR)","LGA (POW)","Count",
"Persons Aged 15 Years and Over Place of Work","South Australia","Campaspe (S)",0
"Persons Aged 15 Years and Over Place of Work","South Australia","Cardinia (S)",7
"Persons Aged 15 Years and Over Place of Work","South Australia","Casey (C)",15
"Persons Aged 15 Years and Over Place of Work","South Australia","Central Goldfields (S)",4
"Persons Aged 15 Years and Over Place of Work","South Australia","Colac-Otway (S)",7
"Persons Aged 15 Years and Over Place of Work","South Australia","Corangamite (S)",3
"Persons Aged 15 Years and Over Place of Work","South Australia","Darebin (C)",21
"Persons Aged 15 Years and Over Place of Work","South Australia","East Gippsland (S)",11
"Persons Aged 15 Years and Over Place of Work","South Australia","Frankston (C)",11
"Persons Aged 15 Years and Over Place of Work","South Australia","Gannawarra (S)",0
"Persons Aged 15 Years and Over Place of Work","South Australia","Glen Eira (C)",8
"Persons Aged 15 Years and Over Place of Work","South Australia","Glenelg (S)",112
"Persons Aged 15 Years and Over Place of Work","South Australia","Golden Plains (S)",0
"Persons Aged 15 Years and Over Place of Work","South Australia","Greater Bendigo (C)",17
"Persons Aged 15 Years and Over Place of Work","South Australia","Greater Dandenong (C)",48
"Persons Aged 15 Years and Over Place of Work","South Australia","Greater Geelong (C)",31
"Persons Aged 15 Years and Over Place of Work","South Australia","Greater Shepparton (C)",9
"Persons Aged 15 Years and Over Place of Work","South Australia","Hepburn (S)",4
"Persons Aged 15 Years and Over Place of Work","South Australia","Hindmarsh (S)",3
"Persons Aged 15 Years and Over Place of Work","South Australia","Hobsons Bay (C)",38
"Persons Aged 15 Years and Over Place of Work","South Australia","Horsham (RC)",11
"Persons Aged 15 Years and Over Place of Work","South Australia","Hume (C)",52
"Persons Aged 15 Years and Over Place of Work","South Australia","Indigo (S)",0
"Persons Aged 15 Years and Over Place of Work","South Australia","Kingston (C)",31
"Persons Aged 15 Years and Over Place of Work","South Australia","Knox (C)",38
"Persons Aged 15 Years and Over Place of Work","South Australia","Latrobe (C)",10
"Persons Aged 15 Years and Over Place of Work","South Australia","Loddon (S)",5
"Persons Aged 15 Years and Over Place of Work","South Australia","Macedon Ranges (S)",4
"Persons Aged 15 Years and Over Place of Work","South Australia","Manningham (C)",3
"Persons Aged 15 Years and Over Place of Work","South Australia","Mansfield (S)",0
"Persons Aged 15 Years and Over Place of Work","South Australia","Maribyrnong (C)",17
"Persons Aged 15 Years and Over Place of Work","South Australia","Maroondah (C)",18
"Persons Aged 15 Years and Over Place of Work","South Australia","Melbourne (C)",297
"Persons Aged 15 Years and Over Place of Work","South Australia","Melton (C)",5
"Persons Aged 15 Years and Over Place of Work","South Australia","Mildura (RC)",144
"Persons Aged 15 Years and Over Place of Work","South Australia","Mitchell (S)",18
"Persons Aged 15 Years and Over Place of Work","South Australia","Moira (S)",7
"Persons Aged 15 Years and Over Place of Work","South Australia","Monash (C)",66
"Persons Aged 15 Years and Over Place of Work","South Australia","Moonee Valley (C)",13
"Persons Aged 15 Years and Over Place of Work","South Australia","Moorabool (S)",0
"Persons Aged 15 Years and Over Place of Work","South Australia","Moreland (C)",16
"Persons Aged 15 Years and Over Place of Work","South Australia","Mornington Peninsula (S)",15
"Persons Aged 15 Years and Over Place of Work","South Australia","Mount Alexander (S)",0
"Persons Aged 15 Years and Over Place of Work","South Australia","Moyne (S)",12
"Persons Aged 15 Years and Over Place of Work","South Australia","Murrindindi (S)",3
"Persons Aged 15 Years and Over Place of Work","South Australia","Nillumbik (S)",0
"Persons Aged 15 Years and Over Place of Work","South Australia","Northern Grampians (S)",5
"Persons Aged 15 Years and Over Place of Work","South Australia","Port Phillip (C)",78
"Persons Aged 15 Years and Over Place of Work","South Australia","Pyrenees (S)",11
"Persons Aged 15 Years and Over Place of Work","South Australia","Queenscliffe (B)",0
"Persons Aged 15 Years and Over Place of Work","South Australia","South Gippsland (S)",8
"Persons Aged 15 Years and Over Place of Work","South Australia","Southern Grampians (S)",17
"Persons Aged 15 Years and Over Place of Work","South Australia","Stonnington (C)",36
"Persons Aged 15 Years and Over Place of Work","South Australia","Strathbogie (S)",0
"Persons Aged 15 Years and Over Place of Work","South Australia","Surf Coast (S)",0
"Persons Aged 15 Years and Over Place of Work","South Australia","Swan Hill (RC)",10
"Persons Aged 15 Years and Over Place of Work","South Australia","Towong (S)",0
"Persons Aged 15 Years and Over Place of Work","South Australia","Wangaratta (RC)",5
"Persons Aged 15 Years and Over Place of Work","South Australia","Warrnambool (C)",11
"Persons Aged 15 Years and Over Place of Work","South Australia","Wellington (S)",25
"Persons Aged 15 Years and Over Place of Work","South Australia","West Wimmera (S)",70
"Persons Aged 15 Years and Over Place of Work","South Australia","Whitehorse (C)",19
"Persons Aged 15 Years and Over Place of Work","South Australia","Whittlesea (C)",10
"Persons Aged 15 Years and Over Place of Work","South Australia","Wodonga (C)",12
"Persons Aged 15 Years and Over Place of Work","South Australia","Wyndham (C)",24
"Persons Aged 15 Years and Over Place of Work","South Australia","Yarra (C)",41
"Persons Aged 15 Years and Over Place of Work","South Australia","Yarra Ranges (S)",11
"Persons Aged 15 Years and Over Place of Work","South Australia","Yarriambiack (S)",7
"Persons Aged 15 Years and Over Place of Work","South Australia","Unincorporated Vic",141
"Persons Aged 15 Years and Over Place of Work","South Australia","No Fixed Address (Vic.)",161
"Persons Aged 15 Years and Over Place of Work","South Australia","Migratory - Offshore - Shipping (Vic.)",4
"Persons Aged 15 Years and Over Place of Work","Western Australia","Alpine (S)",0
"Persons Aged 15 Years and Over Place of Work","Western Australia","Ararat (RC)",4
"Persons Aged 15 Years and Over Place of Work","Western Australia","Ballarat (C)",7
"Persons Aged 15 Years and Over Place of Work","Western Australia","Banyule (C)",15
"Persons Aged 15 Years and Over Place of Work","Western Australia","Bass Coast (S)",4
"Persons Aged 15 Years and Over Place of Work","Western Australia","Baw Baw (S)",6
"Persons Aged 15 Years and Over Place of Work","Western Australia","Bayside (C)",4
"Persons Aged 15 Years and Over Place of Work","Western Australia","Benalla (RC)",0
"Persons Aged 15 Years and Over Place of Work","Western Australia","Boroondara (C)",39
"Persons Aged 15 Years and Over Place of Work","Western Australia","Brimbank (C)",14
"Persons Aged 15 Years and Over Place of Work","Western Australia","Buloke (S)",0
"Persons Aged 15 Years and Over Place of Work","Western Australia","Campaspe (S)",4
"Persons Aged 15 Years and Over Place of Work","Western Australia","Cardinia (S)",6
"Persons Aged 15 Years and Over Place of Work","Western Australia","Casey (C)",7
"Persons Aged 15 Years and Over Place of Work","Western Australia","Central Goldfields (S)",0
"Persons Aged 15 Years and Over Place of Work","Western Australia","Colac-Otway (S)",0
"Persons Aged 15 Years and Over Place of Work","Western Australia","Corangamite (S)",0
"Persons Aged 15 Years and Over Place of Work","Western Australia","Darebin (C)",16
"Persons Aged 15 Years and Over Place of Work","Western Australia","East Gippsland (S)",3
"Persons Aged 15 Years and Over Place of Work","Western Australia","Frankston (C)",14
"Persons Aged 15 Years and Over Place of Work","Western Australia","Gannawarra (S)",0
"Persons Aged 15 Years and Over Place of Work","Western Australia","Glen Eira (C)",10
"Persons Aged 15 Years and Over Place of Work","Western Australia","Glenelg (S)",9
"Persons Aged 15 Years and Over Place of Work","Western Australia","Golden Plains (S)",0
"Persons Aged 15 Years and Over Place of Work","Western Australia","Greater Bendigo (C)",4
"Persons Aged 15 Years and Over Place of Work","Western Australia","Greater Dandenong (C)",30
"Persons Aged 15 Years and Over Place of Work","Western Australia","Greater Geelong (C)",25
"Persons Aged 15 Years and Over Place of Work","Western Australia","Greater Shepparton (C)",5
"Persons Aged 15 Years and Over Place of Work","Western Australia","Hepburn (S)",0
"Persons Aged 15 Years and Over Place of Work","Western Australia","Hindmarsh (S)",0
"Persons Aged 15 Years and Over Place of Work","Western Australia","Hobsons Bay (C)",16
"Persons Aged 15 Years and Over Place of Work","Western Australia","Horsham (RC)",0
"Persons Aged 15 Years and Over Place of Work","Western Australia","Hume (C)",44
"Persons Aged 15 Years and Over Place of Work","Western Australia","Indigo (S)",0
"Persons Aged 15 Years and Over Place of Work","Western Australia","Kingston (C)",30
"Persons Aged 15 Years and Over Place of Work","Western Australia","Knox (C)",33
"Persons Aged 15 Years and Over Place of Work","Western Australia","Latrobe (C)",8
"Persons Aged 15 Years and Over Place of Work","Western Australia","Loddon (S)",3
"Persons Aged 15 Years and Over Place of Work","Western Australia","Macedon Ranges (S)",6
"Persons Aged 15 Years and Over Place of Work","Western Australia","Manningham (C)",4
"Persons Aged 15 Years and Over Place of Work","Western Australia","Mansfield (S)",0
"Persons Aged 15 Years and Over Place of Work","Western Australia","Maribyrnong (C)",4
"Persons Aged 15 Years and Over Place of Work","Western Australia","Maroondah (C)",7
"Persons Aged 15 Years and Over Place of Work","Western Australia","Melbourne (C)",319
"Persons Aged 15 Years and Over Place of Work","Western Australia","Melton (C)",9
"Persons Aged 15 Years and Over Place of Work","Western Australia","Mildura (RC)",0
"Persons Aged 15 Years and Over Place of Work","Western Australia","Mitchell (S)",4
"Persons Aged 15 Years and Over Place of Work","Western Australia","Moira (S)",4
"Persons Aged 15 Years and Over Place of Work","Western Australia","Monash (C)",82
"Persons Aged 15 Years and Over Place of Work","Western Australia","Moonee Valley (C)",11
