Australian Bureau of Statistics

"2011 Census - Counting Employed Persons, Place of Work"
"STATE and Local Government Areas (2011 Boundaries) (POW)"
"Counting: Persons, Place of Work"

Filters:
"Default Summation","Persons, Place of Work"

"Counting","STATE","Local Government Areas (2011 Boundaries) (POW)","Count",
"Persons, Place of Work","South Australia","East Gippsland (S)",3
"Persons, Place of Work","South Australia","Frankston (C)",8
"Persons, Place of Work","South Australia","Gannawarra (S)",3
"Persons, Place of Work","South Australia","Glen Eira (C)",4
"Persons, Place of Work","South Australia","Glenelg (S)",67
"Persons, Place of Work","South Australia","Golden Plains (S)",0
"Persons, Place of Work","South Australia","Greater Bendigo (C)",7
"Persons, Place of Work","South Australia","Greater Dandenong (C)",33
"Persons, Place of Work","South Australia","Greater Geelong (C)",21
"Persons, Place of Work","South Australia","Greater Shepparton (C)",6
"Persons, Place of Work","South Australia","Hepburn (S)",0
"Persons, Place of Work","South Australia","Hindmarsh (S)",16
"Persons, Place of Work","South Australia","Hobsons Bay (C)",24
"Persons, Place of Work","South Australia","Horsham (RC)",0
"Persons, Place of Work","South Australia","Hume (C)",69
"Persons, Place of Work","South Australia","Indigo (S)",0
"Persons, Place of Work","South Australia","Kingston (C)",27
"Persons, Place of Work","South Australia","Knox (C)",23
"Persons, Place of Work","South Australia","Latrobe (C)",6
"Persons, Place of Work","South Australia","Loddon (S)",3
"Persons, Place of Work","South Australia","Macedon Ranges (S)",0
"Persons, Place of Work","South Australia","Manningham (C)",10
"Persons, Place of Work","South Australia","Mansfield (S)",0
"Persons, Place of Work","South Australia","Maribyrnong (C)",11
"Persons, Place of Work","South Australia","Maroondah (C)",7
"Persons, Place of Work","South Australia","Melbourne (C)",265
"Persons, Place of Work","South Australia","Melton (S)",3
"Persons, Place of Work","South Australia","Mildura (RC)",82
"Persons, Place of Work","South Australia","Mitchell (S)",9
"Persons, Place of Work","South Australia","Moira (S)",0
"Persons, Place of Work","South Australia","Monash (C)",40
"Persons, Place of Work","South Australia","Moonee Valley (C)",5
"Persons, Place of Work","South Australia","Moorabool (S)",0
"Persons, Place of Work","South Australia","Moreland (C)",7
"Persons, Place of Work","South Australia","Mornington Peninsula (S)",3
"Persons, Place of Work","South Australia","Mount Alexander (S)",0
"Persons, Place of Work","South Australia","Moyne (S)",12
"Persons, Place of Work","South Australia","Murrindindi (S)",0
"Persons, Place of Work","South Australia","Nillumbik (S)",0
"Persons, Place of Work","South Australia","Northern Grampians (S)",10
"Persons, Place of Work","South Australia","Port Phillip (C)",41
"Persons, Place of Work","South Australia","Pyrenees (S)",0
"Persons, Place of Work","South Australia","Queenscliffe (B)",0
"Persons, Place of Work","South Australia","South Gippsland (S)",0
"Persons, Place of Work","South Australia","Southern Grampians (S)",18
"Persons, Place of Work","South Australia","Stonnington (C)",20
"Persons, Place of Work","South Australia","Strathbogie (S)",3
"Persons, Place of Work","South Australia","Surf Coast (S)",3
"Persons, Place of Work","South Australia","Swan Hill (RC)",6
"Persons, Place of Work","South Australia","Towong (S)",0
"Persons, Place of Work","South Australia","Wangaratta (RC)",0
"Persons, Place of Work","South Australia","Warrnambool (C)",16
"Persons, Place of Work","South Australia","Wellington (S)",3
"Persons, Place of Work","South Australia","West Wimmera (S)",57
"Persons, Place of Work","South Australia","Whitehorse (C)",29
"Persons, Place of Work","South Australia","Whittlesea (C)",8
"Persons, Place of Work","South Australia","Wodonga (RC)",5
"Persons, Place of Work","South Australia","Wyndham (C)",20
"Persons, Place of Work","South Australia","Yarra (C)",31
"Persons, Place of Work","South Australia","Yarra Ranges (S)",0
"Persons, Place of Work","South Australia","Yarriambiack (S)",3
"Persons, Place of Work","South Australia","POW Capital city undefined (Greater Melbourne)",58
"Persons, Place of Work","South Australia","Unincorporated Vic",108
"Persons, Place of Work","South Australia","POW No Fixed Address (Vic.)",175
"Persons, Place of Work","South Australia","POW State/Territory undefined (Vic.)",227
"Persons, Place of Work","Western Australia","Alpine (S)",3
"Persons, Place of Work","Western Australia","Ararat (RC)",0
"Persons, Place of Work","Western Australia","Ballarat (C)",6
"Persons, Place of Work","Western Australia","Banyule (C)",13
"Persons, Place of Work","Western Australia","Bass Coast (S)",22
"Persons, Place of Work","Western Australia","Baw Baw (S)",0
